City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,mazar-e sharif,36.709,67.1109,15.23,20,0,0.72,AF,1729135035
37,ladario,-19.0047,-57.6017,25.34,68,45,0.96,BR,1729135037
38,chegdomyn,51.1167,133.0167,3.97,44,57,3.21,RU,1729135038
39,blackmans bay,-43.0167,147.3167,18.62,71,100,0.89,AU,1729135039
40,pisco,-13.7,-76.2167,17.23,88,0,4.12,PE,1729134877
41,grytviken,-54.2811,-36.5092,-0.32,81,21,5.85,GS,1729135042
42,karratha,-20.7377,116.8463,26.99,22,0,4.99,AU,1729135043
43,arno,60.1167,18.6333,6.97,88,70,5.6,SE,1729135044
44,puerto natales,-51.7236,-72.4875,6.24,95,100,0.93,CL,1729135045
45,murzuq,25.9155,13.9184,21.51,42,2,2.92,LY,1729134832
46,dapa,9.7594,126.0531,29.37,67,61,1.03,PH,1729135047
47,invercargill,-46.4,168.35,14.45,65,100,3.13,NZ,1729135048
48,bontang,0.1333,117.5,26.45,84,100,1.87,ID,1729135049
49,sorong,-0.8833,131.25,28.21,73,67,0.32,ID,1729135050
50,jamestown,42.097,-79.2353,3.8,93,0,0.89,US,1729135052
51,revda,56.801,59.9303,1.12,64,100,1.15,RU,1729135053
52,avarua,-21.2078,-159.775,24.03,64,20,3.09,CK,1729135054
53,paragominas,-2.9667,-47.4833,24.83,71,15,1.72,BR,1729135056
54,arauca,7.0847,-70.7591,25.98,94,20,0.0,CO,1729135057
55,chul'man,56.8479,124.9104,-5.45,73,100,2.97,RU,1729135058
56,hithadhoo,-0.6,73.0833,28.87,73,91,8.4,MV,1729135059
57,mejit,10.2753,170.8646,28.37,77,100,4.76,MH,1729135060
58,albany,42.6001,-73.9662,4.36,58,3,2.09,US,1729134872
59,nuuk,64.1835,-51.7216,-1.66,74,0,2.06,GL,1729134974
60,kristiansund,63.1115,7.732,14.36,47,100,4.12,NO,1729135064
61,bilibino,68.0546,166.4372,-3.07,95,100,1.52,RU,1729135065
62,perry,37.2506,-83.1999,2.76,81,6,0.56,US,1729135066
63,bredasdorp,-34.5322,20.0403,14.81,80,33,3.86,ZA,1729135067
